sub,trial,partner,trait,ran,order,response,age
10720,2,2,0,1,1,0,33.0
10720,3,1,0,1,2,0,33.0
10720,4,3,1,1,3,-5,33.0
10720,5,2,1,1,4,0,33.0
10720,6,1,1,1,5,-1,33.0
10723,1,3,0,1,0,3,21.0
10723,2,2,0,1,1,4,21.0
10723,3,1,0,1,2,4,21.0
10723,4,3,1,1,3,-1,21.0
10723,5,2,1,1,4,-2,21.0
10723,6,1,1,1,5,-2,21.0
10741,1,3,0,1,0,5,37.0
10741,2,2,0,1,1,3,37.0
10741,3,1,0,1,2,3,37.0
10741,4,3,1,1,3,-1,37.0
10741,5,2,1,1,4,-1,37.0
10741,6,1,1,1,5,-1,37.0
10748,1,3,0,1,0,5,33.0
10748,2,2,0,1,1,5,33.0
10748,3,1,0,1,2,5,33.0
10748,4,3,1,1,3,-2,33.0
10748,5,2,1,1,4,-2,33.0
10748,6,1,1,1,5,-2,33.0
10767,1,3,0,1,0,3,25.0
10767,2,2,0,1,1,2,25.0
10767,3,1,0,1,2,-2,25.0
10767,4,3,1,1,3,-2,25.0
10767,5,2,1,1,4,-2,25.0
10767,6,1,1,1,5,-2,25.0
10770,1,3,0,1,0,5,64.0
10770,2,2,0,1,1,0,64.0
10770,3,1,0,1,2,0,64.0
10770,4,3,1,1,3,-5,64.0
10770,5,2,1,1,4,0,64.0
10770,6,1,1,1,5,0,64.0
10774,1,3,0,1,0,1,
10774,2,2,0,1,1,1,
10774,3,1,0,1,2,0,
10774,4,3,1,1,3,-1,
10774,5,2,1,1,4,0,
10774,6,1,1,1,5,0,
10777,1,3,0,1,0,5,38.0
10777,2,2,0,1,1,3,38.0
10777,3,1,0,1,2,3,38.0
10777,4,3,1,1,3,-1,38.0
10777,5,2,1,1,4,-2,38.0
10777,6,1,1,1,5,-3,38.0
10781,1,3,0,1,0,5,37.0
10781,2,2,0,1,1,3,37.0
10781,3,1,0,1,2,0,37.0
10781,4,3,1,1,3,0,37.0
10781,5,2,1,1,4,0,37.0
10781,6,1,1,1,5,0,37.0
10783,1,3,0,1,0,5,51.0
10783,2,2,0,1,1,5,51.0
10783,3,1,0,1,2,5,51.0
10783,4,3,1,1,3,-3,51.0
10783,5,2,1,1,4,-1,51.0
10783,6,1,1,1,5,-2,51.0
10785,1,3,0,1,0,5,61.0
10785,2,2,0,1,1,3,61.0
10785,3,1,0,1,2,3,61.0
10785,4,3,1,1,3,-3,61.0
10785,5,2,1,1,4,-2,61.0
10785,6,1,1,1,5,-2,61.0
10794,1,3,0,1,0,3,39.0
10794,2,2,0,1,1,0,39.0
10794,3,1,0,1,2,0,39.0
10794,4,3,1,1,3,-2,39.0
10794,5,2,1,1,4,0,39.0
10794,6,1,1,1,5,0,39.0
